Name,playerid,Age
Jake Brentz,17783,27
Nate Pearson,20160,25
Efren Delgado,sa594882,#N/A
Andy Otero,sa506550,30
Danny Coulombe,13293,32
Jose Quintana,11423,33
Casey Sadler,11209,31
John Gant,13684,29
Brad Wieck,16390,30
David Phelps,6316,35
Sam Howard,16265,29
Chris Stratton,13761,31
Tony Cingrani,12555,32
Walter Silva,5157,#N/A
Michael King,19853,27
Ryan Tepera,10291,34
Alberto Baldonado,11812,29
Anthony Castro,19789,27
Matt Strahm,13799,30
Angel Perdomo,17759,28
Reynaldo Lopez,16400,28
Patrick Sandoval,19447,25
Ken Giles,12910,31
Codi Heuer,23293,25
Aaron Wilkerson,16904,33
Austin Adams,13801,31
Levi Stoudt,sa3014545,24
Frank Garces,13144,#N/A
Jose Cisnero,6399,33
Benjamin Leeper,sa3014907,25
Dusty Isaacs,sa550364,#N/A
Joey Lucchesi,19320,29
Caleb Thielbar,10078,35
Dominic Leone,13763,30
Rowan Wick,14646,29
Clay Holmes,13649,29
Brad Boxberger,10133,34
Adrian Sampson,13339,30
Jorge Alcala,19459,26
Luis Cessa,13345,30
Johan Dominguez,sa916727,26
Orlando Lara,sa328299,#N/A
Shun Yamaguchi,27460,34
Masahiro Tanaka,15764,33
Josh Lowey,sa560990,#N/A
Ray Black,14244,32
Rubby de la Rosa,3862,#N/A
Jesse Hahn,13287,32
Hector Rodriguez,sa509281,#N/A
Emilio Pagan,14771,31
Chris Paddack,20099,26
Hector Ambriz,559,#N/A
Kyle Finnegan,15009,30
Yerry De Los Santos,sa873562,24
Ricardo Sanchez,17581,25
Rico Garcia,20023,28
Brad Hand,9111,32
Mason Thompson,21850,24
Edwin Uceta,20539,24
Michael Kohn,8505,#N/A
Tommy Nance,19178,31
Touki Toussaint,16929,26
Cole Sulser,15256,32
Hunter Cervenka,10510,#N/A
J.B. Wendelken,14506,29
William Ethridge,sa3011337,24
Ty Buttrey,14719,29
Ethan Roberts,sa3008132,24
Mike Mayers,15451,30
Colin Poche,19403,#N/A
Jeremy Walker,19981,#N/A
Matthew Walston,sa3011814,21
John Axford,9059,39
Luis Perdomo,14682,29
Eric Orze,sa3014793,24
Dellin Betances,6216,34
Sean Brady,sa737808,#N/A
Dustin Crenshaw,sa3001062,#N/A
Mitchell Stumpo,sa3011585,26
Mychal Givens,10430,32
Trevor Richards,19309,29
Brent Suter,13942,32
Dan Altavilla,16507,29
Sean Reid-Foley,17034,26
Adam Morgan,12580,32
Jose Quijada,19200,26
Ben Heller,15100,30
John Curtiss,16128,29
Matt Dermody,14844,31
Richard Lovelady,19337,26
Ryan Borucki,16350,28
Anthony Bass,7982,34
Lucas Luetge,8337,35
Brooks Wilson,sa3006966,26
Brooks Raley,10061,34
Alex Reyes,15015,27
Reiver Sanmartin,19754,26
Jesse Chavez,5448,38
Tony Santillan,19926,25
Blake Cederlind,20344,26
Tony Watson,3132,37
Shawn Armstrong,12857,31
Roberto Osuna,13764,27
Kervin Castro,21656,23
Arodys Vizcaino,5498,31
Erubiel Armenta,sa3015125,22
Sam Long,25379,26
Edgar Santana,17355,30
Wyatt Mills,20010,27
Matthew Gage,sa827398,29
Wander Suero,15855,30
Evan Marshall,12297,32
Erik Swanson,16587,28
Luis Frias,21997,24
Paco Rodriguez,13398,#N/A
Rex Brothers,9794,34
Fernando Romero,15885,#N/A
Kyuji Fujikawa,14443,#N/A
Danny Hultzen,12874,#N/A
Sidney Thomas,sa3010784,24
Luis Ortiz,16942,26
Yoan Lopez,17181,29
Jayson McKinley,sa920921,#N/A
Brailyn Marquez,21896,23
Ryne Stanek,15947,30
Cesar Valdez,9013,37
Anthony Misiewicz,18152,27
Andrew Heaney,15423,31
Tayler Scott,13652,#N/A
Garrett Richards,9784,34
Travis Radke,sa602806,#N/A
Michael Lorenzen,14843,30
Tyler Holton,sa3011295,26
Evan Miller,sa915725,27
Sam Dyson,11710,#N/A
JT Chargois,13767,31
Evan Phillips,17734,27
Tyler Higgins,sa503722,#N/A
Trevor Rosenthal,10745,32
Sean Guenther,20045,26
Martin Perez,6902,31
Jonathan Hernandez,17464,25
Shaun Anderson,19453,27
John Brebbia,12777,32
Josh James,16794,29
JoJo Romero,19574,25
Jimmie Sherfy,15118,30
Davis Martin,sa3008311,25
Alec Bettinger,20312,26
Gerardo Reyes,16306,#N/A
Blaine Hardy,6499,35
Jeff Hoffman,17432,29
John King,22051,27
Dillon Tate,17796,28
Tyler Duffey,13758,31
Bennett Parry,sa599520,#N/A
Carlos Estevez,14542,29
Andrew Istler,sa827457,#N/A
Joe Biagini,13194,32
Taylor Floyd,sa3011367,24
Jake Woodford,18674,25
Ryan Madson,1852,#N/A
Justin Bruihl,23779,25
Eric Lauer,19316,27
Patrick Ruotolo,sa856262,27
Anthony Banda,14706,28
Luis Avilan,2882,32
Robert Stephenson,13594,29
Zach Pop,20185,25
Ryan Thompson,16647,30
Andrew Strotman,sa3004584,25
Rafael Montero,12760,31
Jose Alvarez,5358,33
Josh Sborz,18323,28
Esmil Rogers,6317,#N/A
Austin Warren,24937,26
Tyler Chatwood,4338,32
Thomas Hatch,19264,27
Matt Wisler,12804,29
Daniel Gossett,16164,29
Scott Effross,18384,28
Jandel Gustave,14665,29
Jason Alexander,sa3003997,29
Craig Stammen,7274,38
Cody Reed,15232,29
Archie Bradley,12918,29
Miguel Del Pozo,18792,29
Victor Arano,15915,27
Kyle Backhus,sa3017068,24
William Sullivan,sa3014918,23
David Robertson,8241,37
Kent Emanuel,15849,30
Luiz Gohara,15166,#N/A
Dany Jimenez,21170,28
Joe Jimenez,15761,27
Justin Wilson,4301,34
Carlos Hernandez,22713,25
Derek Holland,4141,35
Davidjohn Herz,sa3011680,21
Michael Rucker,19454,28
Gabriel de Jesus Garcia,sa504069,#N/A
Austin Pruitt,15290,32
Nick Pivetta,15454,29
Chris Mazza,14151,32
Tyler Rogers,15541,31
A.J. Puk,19343,27
Seranthony Dominguez,19249,27
Zack Britton,3240,34
Ljay Newsome,19942,25
Phillip Diehl,20030,27
Caleb Smith,14875,30
Brian McKenna,sa3011767,29
Chase Lee,sa3016946,23
Aaron Kurcz,sa549903,#N/A
Zach Thompson,16094,28
Jacob Barnes,12323,32
Jose Marte,21761,26
Carson Smith,13172,#N/A
Daniel Robert,sa3009856,27
Tyler Cyr,sa875270,29
Damon Jones,23310,27
DJ Johnson,12578,32
Andrew Chafin,12988,32
Brett Eibner,11369,33
Fernando Rodriguez,7558,#N/A
Kyle Harrison,sa3014513,20
Francisco Rodriguez,6688,#N/A
Joseph Palumbo,17035,27
Ross Stripling,13273,32
Tyson Ross,7872,#N/A
Sam Clay,16279,29
Melvin Adon,sa873314,#N/A
Stephen Ridings,22358,26
Ryan Weber,10160,31
Peyton Remy,sa3005302,25
Ryan Walker,sa3007594,26
Drew Smith,17755,28
Hirokazu Sawamura,27515,34
Griffin Jax,20253,27
Taylor Guerrieri,13616,29
Kevin Ginkel,19876,28
Andrew Wantz,24933,26
Mike Fiers,7754,37
Ryan Helsley,18138,27
Jake Walsh,sa3004457,26
Brendan McKay,20186,26
Jason Adam,11861,30
Zack Littell,15823,26
Daniel Castano,19805,27
Jacob Waguespack,18318,28
Cody Stashak,18088,28
Cam Bedrosian,13360,30
Sammy Solis,11457,#N/A
Kyle Keller,18890,29
Hunter Harvey,15507,27
Andrew Cashner,8782,#N/A
Austin Schulfer,sa3007585,26
Zachery Kelly,sa3004118,27
Marcus Walden,8004,33
Jimmy Cordero,15690,30
Trent Thornton,17948,28
Ryan Cook,8855,#N/A
Joel Payamps,14332,28
Jamie Callahan,14711,#N/A
Craig Brooks,sa875197,#N/A
Corey Taylor,sa827144,#N/A
Jose Ruiz,14552,27
Andrew Nardi,sa3011234,23
Bud Norris,9492,#N/A
Adam Ottavino,1247,36
Louis Head,13259,32
Darwinzon Hernandez,19848,25
Miles Mikolas,9803,33
Joe Mantiply,14857,31
Jairo Diaz,12774,31
Landon Knack,sa3014518,24
Boone Logan,5525,#N/A
Ian Hamilton,19261,27
Jackson Rees,sa3007818,27
Alexis Diaz,sa875576,25
Ryan Hendrix,19535,27
Junior Fernandez,18496,25
Thomas Cosgrove,sa915675,26
Brendan McCurry,sa829486,#N/A
Duane Underwood Jr.,14677,27
T.J. McFarland,3237,33
Matthew Cronin,sa3011463,24
Jake Faria,13699,28
Jesse Biddle,11437,30
Jacob Bird,sa3008097,26
Jarlin Garcia,18282,29
Shane Greene,10756,33
Edwar Colina,20589,25
Nick Snyder,23493,26
Angel Rondon,22036,24
Oliver Drake,8823,35
Dylan Lee,19996,27
Brendon Little,sa876266,25
Phil Maton,18064,29
David Paulino,17418,28
Austin Davis,17117,29
Nick Gardewine,16513,28
Brian Metoyer,sa3008361,25
Joe Ross,12972,29
Julian Fernandez,18341,26
Tyler Spurlin,sa739833,#N/A
Artie Lewicki,16731,30
Shawn Morimando,13606,29
Hunter Strickland,7836,33
Kazuhisa Makita,sa594234,#N/A
Carl Edwards Jr.,13607,30
Taylor Cole,11964,#N/A
Spencer Patton,12361,34
Cayne Ueckert,sa3010789,26
Jared Robinson,sa829022,27
Chad Kuhl,14975,29
Trevor Stephan,19932,26
Reese Olson,sa3008513,22
Jeremy Jeffress,9490,34
R.J. Alvarez,13401,31
Luis Vasquez,sa393198,#N/A
Justus Sheffield,17285,26
Alex McRae,16317,29
Wandy Peralta,14295,30
Bryan Abreu,16609,25
Jean Cosme,sa829216,#N/A
Michel Baez,20100,26
Austin Voth,15047,30
Ronald Belisario,2203,#N/A
Rodney Smith,sa875373,27
Luis Escobar,17345,#N/A
Parker Markel,12106,31
Matt Andriese,12022,32
Rob Kaminsky,15792,27
Phoenix Sanders,sa3004098,27
Tyler Kinley,18297,31
Norwith Gudino,sa872808,26
Slade Cecconi,sa3014739,23
Fernando Rodney,494,#N/A
John Gorman,sa602627,#N/A
Anthony Veneziano,sa1115745,24
Christopher Lee,sa550044,#N/A
Matthew Hardy,sa3004120,26
Garrett Schilling,sa3004770,26
Yimi Garcia,12095,31
Hansel Robles,11801,31
Buddy Boshers,8490,#N/A
Johnny Cueto,6893,36
Enny Romero,4001,#N/A
Nate Jones,4696,36
Ryan Meisinger,18105,28
Noe Ramirez,12800,32
Cole Stapler,sa738639,#N/A
Nik Turley,5530,32
Richard Rodriguez,13549,32
Rob Zastryzny,15094,30
Gabe Speier,17170,27
Nick Anderson,18337,31
Aaron Shortridge,sa3006759,#N/A
Ben Bowden,20198,27
Andre Jackson,21298,26
Brett Martin,17369,27
Alexander Powers,sa621533,30
Blake Weiman,sa3004211,26
Daniel Duarte,sa877364,25
Braden Shipley,15158,30
Peter Poulin,sa3007223,25
Austin Adams,7411,#N/A
Taylor Widener,19266,27
Kenneth McNutt,sa502768,#N/A
Jordan Holloway,20631,26
Daniel Camarena,14467,29
Tommy Eveld,sa918150,28
Kyle Funkhouser,19456,28
Brett Anderson,8223,34
Trevor Williams,16977,30
Conner Menez,19199,27
Justin Hancock,12316,#N/A
Kyle Cody,19686,27
Bryan Hudson,sa874984,25
Ian Krol,10066,31
Dillon Maples,14672,30
Joakim Soria,6941,38
Jordan Mills,sa738394,#N/A
Jake Jewell,16958,29
Joseph Murray,sa3007234,25
Bradley Roney,sa598926,29
Grant Dayton,11203,34
Jose De Leon,15463,29
Jose De Paula,sa657482,#N/A
Josh Osich,11528,33
Taylor Clarke,17611,29
Junior Garcia,sa737032,26
Drey Jameson,sa3011652,24
Drew Smyly,11760,33
Ryan Olson,sa918258,27
Miguel Diaz,18815,27
Wilmer Font,5257,32
Peter Tago,sa548162,29
Nicholas Vespi,sa875778,26
Carson Ragsdale,sa3014922,24
Darren O'Day,3321,39
Jonny Venters,7175,#N/A
J.D. Hammer,19548,27
Rafael Dolis,4185,34
Brandon Hughes,sa915618,26
Jordan Zimmermann,4505,36
Tyler Jones,sa3007999,26
Francisco Liriano,3201,#N/A
Jake Reed,16209,29
Clayton Andrews,sa3007226,25
Scott Peoples,sa658314,#N/A
Layne Somsen,15301,#N/A
Cameron Gibbens,sa3014797,26
Jhoulys Chacin,2608,34
Jose Quezada,sa3008375,26
Shawn Dubin,sa3007248,26
Ian Gardeck,sa598115,#N/A
Matt Peacock,20339,28
Enoli Paredes,20447,26
Drew VerHagen,13424,#N/A
Grant Dyer,sa874139,#N/A
Blake Workman,sa3007856,24
Kenneth Koplove,sa827154,#N/A
Tyler Ferguson,sa658964,28
Zachary King,sa3011592,24
Clayton Beeter,sa3014536,23
Hyeon-jong Yang,27513,34
Brandon Bielak,19866,26
Scott Copeland,10706,#N/A
Oliver Ortega,21025,25
Bruce Rondon,5766,#N/A
Jalen Beeks,17192,28
Noel Vela,sa3005177,23
Juan Nicasio,7731,35
Dovydas Neverauskas,11604,29
Matthew Brash,sa3010616,24
Jhoan Duran,sa873347,24
Jaison Vilera,sa917752,25
Austin Roberts,sa3010254,23
Roberto Gomez,12963,#N/A
Akeel Morris,12185,29
Alex Claudio,12890,30
Daniel Alvarez,sa828462,26
Joseph Wentz,sa917946,24
Preston Guilmet,7303,34
Jovani Moran,20422,25
Tayron Guerrero,11691,31
Joel Kuhnel,19995,27
Sam Gaviglio,12778,32
Peter Strzelecki,sa3006947,27
Nick Mears,25376,25
J.B. Bukauskas,20491,25
Adam Cimber,15288,31
Reagan Todd,sa3006946,26
Dylan Covey,14825,30
Nestor Cortes,17874,27
Devin Smeltzer,19487,26
Tyler Beede,16981,29
Jesus Reyes,19277,29
Stefan Crichton,16058,30
Ryan Nutof,sa915630,#N/A
Colby White,sa3011200,23
Cody Carroll,17664,29
Blake Rogers,sa876290,28
Derek Law,13133,31
JJ Santa Cruz,sa3007274,#N/A
Erasmo Pinales,sa795280,#N/A
Jacob Higginbotham,sa3007590,26
Zachary Vennaro,sa3010326,26
Willy Taveras,sa917753,24
Elvis Araujo,12854,#N/A
Nicholas Kuzia,sa3004493,26
Braxton Roxby,sa3014811,23
Jared Biddy,sa3011303,25
Alex Colome,6661,33
Aneuris Rosario,sa828343,27
Jace Fry,16159,28
Tony Barnette,3555,#N/A
Yennier Cano,sa3011688,28
Kodi Whitley,19731,27
Jose Valverde,1726,#N/A
Jeremy Beasley,20205,26
Yunior Marte,sa739617,27
Yefry Ramirez,15655,28
